codigo_producto,descripcion,stock_actual,dias_con_ventas,venta_promedio_diaria,dias_inventario_disponible,alerta_stock
703102912177,LECHE EN POLVO 400G,69.0,11,1.63,42.31,NORMAL
703102912177,LECHE EN POLVO 400G,26.0,8,1.33,19.55,BAJO
703102912177,LECHE EN POLVO 400G,23.0,9,1.49,15.42,BAJO
703102912177,LECHE EN POLVO 400G,39.0,9,1.43,27.23,BAJO
703102912177,LECHE EN POLVO 400G,25.0,11,1.52,16.41,BAJO
703102912177,LECHE EN POLVO 400G,45.0,11,1.28,35.12,NORMAL
703102912177,LECHE EN POLVO 400G,46.0,11,1.1,41.86,NORMAL
703102912177,LECHE EN POLVO 400G,30.0,9,1.29,23.29,BAJO
703102912177,LECHE EN POLVO 400G,41.0,8,1.17,35.06,NORMAL
703102912177,LECHE EN POLVO 400G,41.0,9,1.21,34.02,NORMAL
703102912177,LECHE EN POLVO 400G,44.0,10,1.23,35.75,NORMAL
703102912177,LECHE EN POLVO 400G,37.0,8,1.23,30.06,NORMAL
703102912177,LECHE EN POLVO 400G,51.0,8,1.26,40.46,NORMAL
703102912177,LECHE EN POLVO 400G,33.0,11,1.36,24.18,BAJO
703102912177,LECHE EN POLVO 400G,27.0,11,1.13,24.0,BAJO
703102912177,LECHE EN POLVO 400G,24.0,11,1.37,17.57,BAJO
703102912177,LECHE EN POLVO 400G,49.0,11,1.61,30.46,NORMAL
703102912177,LECHE EN POLVO 400G,38.0,10,1.45,26.21,BAJO
703102912177,LECHE EN POLVO 400G,23.0,8,1.69,13.65,BAJO
703102912177,LECHE EN POLVO 400G,23.0,10,1.73,13.31,BAJO
703102912177,LECHE EN POLVO 400G,37.0,10,1.62,22.9,BAJO
703102912177,LECHE EN POLVO 400G,40.0,9,1.39,28.78,BAJO
703102912177,LECHE EN POLVO 400G,47.0,9,1.72,27.34,BAJO
703102912177,LECHE EN POLVO 400G,52.0,8,1.6,32.44,NORMAL
703102912177,LECHE EN POLVO 400G,14.0,10,1.27,10.93,BAJO
703102912177,LECHE EN POLVO 400G,26.0,10,1.57,16.53,BAJO
703102912177,LECHE EN POLVO 400G,33.0,8,1.53,21.58,BAJO
703102912177,LECHE EN POLVO 400G,29.0,11,1.33,21.75,BAJO
703102912177,LECHE EN POLVO 400G,50.0,9,1.54,32.39,NORMAL
703102912177,LECHE EN POLVO 400G,27.0,10,1.38,19.58,BAJO
703102912177,LECHE EN POLVO 400G,25.0,9,1.67,14.95,BAJO
703102912177,LECHE EN POLVO 400G,40.0,10,1.14,35.19,NORMAL
703102912177,LECHE EN POLVO 400G,52.0,11,1.66,31.34,NORMAL
703102912177,LECHE EN POLVO 400G,14.0,11,1.28,10.65,BAJO
703102912177,LECHE EN POLVO 400G,44.0,10,1.57,28.07,BAJO
703102912177,LECHE EN POLVO 400G,46.0,10,1.11,41.47,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,41.0,35,1.78,23.06,BAJO
703377007955,GEL ALCOHÓLICO 100ML,36.0,28,1.49,24.19,BAJO
703377007955,GEL ALCOHÓLICO 100ML,50.0,35,1.3,38.5,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,30.0,35,1.71,17.53,BAJO
703377007955,GEL ALCOHÓLICO 100ML,39.0,30,1.86,21.01,BAJO
703377007955,GEL ALCOHÓLICO 100ML,35.0,27,1.71,20.46,BAJO
703377007955,GEL ALCOHÓLICO 100ML,37.0,35,1.71,21.63,BAJO
703377007955,GEL ALCOHÓLICO 100ML,25.0,30,1.33,18.76,BAJO
703377007955,GEL ALCOHÓLICO 100ML,36.0,29,1.34,26.87,BAJO
703377007955,GEL ALCOHÓLICO 100ML,46.0,34,1.58,29.07,BAJO
703377007955,GEL ALCOHÓLICO 100ML,40.0,28,1.89,21.22,BAJO
703377007955,GEL ALCOHÓLICO 100ML,44.0,24,1.67,26.37,BAJO
703377007955,GEL ALCOHÓLICO 100ML,41.0,26,1.86,22.05,BAJO
703377007955,GEL ALCOHÓLICO 100ML,49.0,29,1.93,25.34,BAJO
703377007955,GEL ALCOHÓLICO 100ML,57.0,35,1.36,41.99,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,45.0,35,1.39,32.47,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,39.0,27,1.3,29.93,BAJO
703377007955,GEL ALCOHÓLICO 100ML,49.0,33,1.47,33.22,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,32.0,28,1.59,20.08,BAJO
703377007955,GEL ALCOHÓLICO 100ML,56.0,31,1.89,29.56,BAJO
703377007955,GEL ALCOHÓLICO 100ML,60.0,24,1.82,32.95,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,48.0,33,1.63,29.38,BAJO
703377007955,GEL ALCOHÓLICO 100ML,48.0,26,1.27,37.66,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,60.0,34,1.43,41.81,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,27.0,26,1.46,18.53,BAJO
703377007955,GEL ALCOHÓLICO 100ML,46.0,32,1.37,33.57,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,47.0,29,1.79,26.28,BAJO
703377007955,GEL ALCOHÓLICO 100ML,38.0,33,1.78,21.37,BAJO
703377007955,GEL ALCOHÓLICO 100ML,59.0,24,1.36,43.31,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,45.0,27,1.41,32.02,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,57.0,28,1.24,45.93,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,37.0,32,1.38,26.88,BAJO
703377007955,GEL ALCOHÓLICO 100ML,40.0,33,1.5,26.67,BAJO
703377007955,GEL ALCOHÓLICO 100ML,44.0,25,1.98,22.17,BAJO
703377007955,GEL ALCOHÓLICO 100ML,58.0,26,1.69,34.25,NORMAL
703377007955,GEL ALCOHÓLICO 100ML,60.0,30,1.9,31.64,NORMAL
707037023369,MEMORIA SD 32GB,36.0,15,1.87,19.25,BAJO
707037023369,MEMORIA SD 32GB,27.0,17,1.58,17.04,BAJO
707037023369,MEMORIA SD 32GB,55.0,14,1.37,40.0,NORMAL
707037023369,MEMORIA SD 32GB,47.0,14,1.58,29.74,BAJO
707037023369,MEMORIA SD 32GB,37.0,16,1.3,28.46,BAJO
707037023369,MEMORIA SD 32GB,44.0,12,1.69,26.05,BAJO
707037023369,MEMORIA SD 32GB,56.0,15,1.87,29.94,BAJO
707037023369,MEMORIA SD 32GB,60.0,14,1.59,37.74,NORMAL
707037023369,MEMORIA SD 32GB,43.0,16,1.53,28.11,BAJO
707037023369,MEMORIA SD 32GB,56.0,15,1.95,28.77,BAJO
707037023369,MEMORIA SD 32GB,41.0,16,1.27,32.29,NORMAL
707037023369,MEMORIA SD 32GB,45.0,17,1.77,25.45,BAJO
707037023369,MEMORIA SD 32GB,35.0,13,1.81,19.36,BAJO
707037023369,MEMORIA SD 32GB,26.0,15,1.95,13.31,BAJO
707037023369,MEMORIA SD 32GB,32.0,17,1.31,24.44,BAJO
707037023369,MEMORIA SD 32GB,34.0,13,1.72,19.73,BAJO
707037023369,MEMORIA SD 32GB,33.0,14,1.82,18.11,BAJO
707037023369,MEMORIA SD 32GB,36.0,16,1.45,24.91,BAJO
707037023369,MEMORIA SD 32GB,50.0,15,1.99,25.13,BAJO
707037023369,MEMORIA SD 32GB,37.0,12,1.23,30.17,NORMAL
707037023369,MEMORIA SD 32GB,51.0,16,1.89,26.98,BAJO
707037023369,MEMORIA SD 32GB,38.0,15,1.48,25.68,BAJO
707037023369,MEMORIA SD 32GB,35.0,12,1.73,20.17,BAJO
707037023369,MEMORIA SD 32GB,52.0,17,1.92,27.15,BAJO
707037023369,MEMORIA SD 32GB,12.0,13,1.32,9.33,BAJO
707037023369,MEMORIA SD 32GB,46.0,14,1.77,26.06,BAJO
707037023369,MEMORIA SD 32GB,38.0,16,1.38,27.46,BAJO
707037023369,MEMORIA SD 32GB,54.0,17,1.74,31.0,NORMAL
707037023369,MEMORIA SD 32GB,51.0,12,1.25,40.76,NORMAL
707037023369,MEMORIA SD 32GB,53.0,16,1.21,43.85,NORMAL
707037023369,MEMORIA SD 32GB,16.0,13,1.24,12.76,BAJO
707037023369,MEMORIA SD 32GB,42.0,16,1.56,26.93,BAJO
707037023369,MEMORIA SD 32GB,58.0,15,1.43,40.49,NORMAL
707037023369,MEMORIA SD 32GB,60.0,16,1.42,42.38,NORMAL
707037023369,MEMORIA SD 32GB,22.0,12,1.26,17.72,BAJO
707037023369,MEMORIA SD 32GB,42.0,15,1.49,28.13,BAJO
715073335721,DETERGENTE ARIEL 500G,55.0,22,1.75,31.4,NORMAL
715073335721,DETERGENTE ARIEL 500G,53.0,18,1.58,33.64,NORMAL
715073335721,DETERGENTE ARIEL 500G,22.0,22,1.28,17.23,BAJO
715073335721,DETERGENTE ARIEL 500G,45.0,23,1.61,28.0,BAJO
715073335721,DETERGENTE ARIEL 500G,38.0,25,1.66,22.86,BAJO
715073335721,DETERGENTE ARIEL 500G,26.0,22,1.47,17.67,BAJO
715073335721,DETERGENTE ARIEL 500G,43.0,19,1.41,30.44,NORMAL
715073335721,DETERGENTE ARIEL 500G,26.0,20,1.59,16.38,BAJO
715073335721,DETERGENTE ARIEL 500G,39.0,24,1.63,23.94,BAJO
