fecha,numero_transacciones
2022-01-01,28
2022-01-02,20
2022-01-03,24
2022-01-04,21
2022-01-05,28
2022-01-06,12
2022-01-07,21
2022-01-08,16
2022-01-09,6
2022-01-10,4
2022-01-11,8
2022-01-12,12
2022-01-13,21
2022-01-14,33
2022-01-15,12
2022-01-16,3
2022-01-17,16
2022-01-18,28
2022-01-19,18
2022-01-20,28
2022-01-21,16
2022-01-22,2
2022-01-23,6
2022-01-24,12
2022-01-25,2
2022-01-26,6
2022-01-27,12
2022-01-28,15
2022-01-29,12
2022-01-30,12
2022-01-31,27
2022-02-01,8
2022-02-02,12
2022-02-03,10
2022-02-04,21
2022-02-05,6
2022-02-06,15
2022-02-07,20
2022-02-08,24
2022-02-09,27
2022-02-10,27
2022-02-11,33
2022-02-12,18
2022-02-13,6
2022-02-14,4
2022-02-15,18
2022-02-16,24
2022-02-17,24
2022-02-18,21
2022-02-19,12
2022-02-20,12
2022-02-21,9
2022-02-22,28
2022-02-23,12
2022-02-24,8
2022-02-25,4
2022-02-26,10
2022-02-27,10
2022-02-28,36
2022-03-01,20
2022-03-02,15
2022-03-03,21
2022-03-04,9
2022-03-05,20
2022-03-06,9
2022-03-07,33
2022-03-08,30
2022-03-09,15
2022-03-10,21
2022-03-11,15
2022-03-12,3
2022-03-13,15
2022-03-14,30
2022-03-15,32
2022-03-16,20
2022-03-17,12
2022-03-18,8
2022-03-19,28
2022-03-20,27
2022-03-21,12
2022-03-22,8
2022-03-23,10
2022-03-24,12
2022-03-25,3
2022-03-26,9
2022-03-27,16
2022-03-28,21
2022-03-29,16
2022-03-30,21
2022-03-31,36
2022-04-01,21
2022-04-02,12
2022-04-03,6
2022-04-04,24
2022-04-05,10
2022-04-06,30
2022-04-07,20
2022-04-08,15
2022-04-09,20
2022-04-10,18
2022-04-11,6
2022-04-12,10
2022-04-13,15
2022-04-14,3
2022-04-15,16
2022-04-16,36
2022-04-17,20
2022-04-18,10
2022-04-19,33
2022-04-20,36
2022-04-21,36
2022-04-22,8
2022-04-23,36
2022-04-24,18
2022-04-25,33
2022-04-26,14
2022-04-27,24
2022-04-28,4
2022-04-29,9
2022-04-30,8
2022-05-01,8
2022-05-02,21
2022-05-03,8
2022-05-04,9
2022-05-05,8
2022-05-06,24
2022-05-07,12
2022-05-08,6
2022-05-09,9
2022-05-10,10
2022-05-11,16
2022-05-12,28
2022-05-13,2
2022-05-14,9
2022-05-15,20
2022-05-16,12
2022-05-17,16
2022-05-18,24
2022-05-19,3
2022-05-20,12
2022-05-21,24
2022-05-22,10
2022-05-23,6
2022-05-24,10
2022-05-25,16
2022-05-26,28
2022-05-27,15
2022-05-28,2
2022-05-29,12
2022-05-30,12
2022-05-31,3
2022-06-01,9
2022-06-02,9
2022-06-03,4
2022-06-04,21
2022-06-05,12
2022-06-06,4
2022-06-07,16
2022-06-08,24
2022-06-09,14
2022-06-10,15
2022-06-11,3
2022-06-12,36
2022-06-13,6
2022-06-14,12
2022-06-15,2
2022-06-16,8
2022-06-17,32
2022-06-18,28
2022-06-19,36
2022-06-20,6
2022-06-21,20
2022-06-22,30
2022-06-23,20
2022-06-24,10
2022-06-25,20
2022-06-26,14
2022-06-27,21
2022-06-28,9
2022-06-29,15
2022-06-30,6
2022-07-01,6
2022-07-02,16
2022-07-03,14
2022-07-04,4
2022-07-05,18
2022-07-06,12
2022-07-07,16
2022-07-08,20
2022-07-09,8
2022-07-10,36
2022-07-11,16
2022-07-12,16
2022-07-13,12
2022-07-14,18
2022-07-15,12
2022-07-16,24
2022-07-17,3
2022-07-18,30
2022-07-19,12
2022-07-20,10
2022-07-21,8
2022-07-22,2
2022-07-23,8
2022-07-24,6
2022-07-25,16
2022-07-26,15
2022-07-27,21
2022-07-28,28
2022-07-29,12
2022-07-30,24
2022-07-31,27
2022-08-01,15
2022-08-02,12
2022-08-03,12
2022-08-04,4
2022-08-05,33
2022-08-06,21
2022-08-07,28
2022-08-08,6
2022-08-09,6
2022-08-10,14
2022-08-11,32
2022-08-12,6
2022-08-13,12
2022-08-14,21
2022-08-15,24
2022-08-16,15
2022-08-17,24
2022-08-18,6
2022-08-19,12
2022-08-20,9
2022-08-21,14
2022-08-22,24
2022-08-23,12
2022-08-24,20
2022-08-25,15
2022-08-26,9
2022-08-27,27
2022-08-28,21
2022-08-29,4
2022-08-30,9
2022-08-31,8
2022-09-01,8
2022-09-02,20
2022-09-03,8
2022-09-04,28
2022-09-05,4
2022-09-06,12
2022-09-07,21
2022-09-08,18
2022-09-09,16
2022-09-10,15
2022-09-11,16
2022-09-12,6
2022-09-13,2
2022-09-14,10
2022-09-15,24
2022-09-16,8
2022-09-17,20
2022-09-18,18
2022-09-19,20
2022-09-20,18
2022-09-21,14
2022-09-22,4
2022-09-23,28
2022-09-24,20
2022-09-25,6
2022-09-26,8
2022-09-27,14
2022-09-28,20
2022-09-29,4
2022-09-30,30
2022-10-01,36
2022-10-02,10
2022-10-03,16
2022-10-04,8
2022-10-05,21
2022-10-06,32
2022-10-07,2
2022-10-08,24
2022-10-09,4
2022-10-10,24
2022-10-11,8
2022-10-12,33
2022-10-13,15
2022-10-14,8
2022-10-15,12
2022-10-16,15
2022-10-17,20
2022-10-18,6
2022-10-19,27
2022-10-20,15
2022-10-21,9
2022-10-22,4
2022-10-23,36
2022-10-24,6
2022-10-25,3
2022-10-26,8
2022-10-27,15
2022-10-28,8
2022-10-29,27
2022-10-30,8
2022-10-31,12
2022-11-01,6
2022-11-02,24
2022-11-03,24
2022-11-04,12
2022-11-05,10
2022-11-06,9
2022-11-07,24
2022-11-08,10
2022-11-09,20
2022-11-10,9
2022-11-11,16
2022-11-12,27
2022-11-13,8
2022-11-14,12
2022-11-15,27
2022-11-16,9
2022-11-17,12
2022-11-18,12
2022-11-19,3
2022-11-20,24
2022-11-21,14
2022-11-22,21
2022-11-23,21
2022-11-24,20
2022-11-25,33
2022-11-26,4
2022-11-27,10
2022-11-28,12
2022-11-29,6
2022-11-30,9
2022-12-01,27
2022-12-02,18
2022-12-03,14
2022-12-04,9
2022-12-05,8
2022-12-06,30
2022-12-07,15
2022-12-08,21
2022-12-09,14
2022-12-10,6
2022-12-11,28
2022-12-12,4
2022-12-13,6
2022-12-14,20
2022-12-15,3
2022-12-16,20
2022-12-17,20
2022-12-18,14
2022-12-19,9
2022-12-20,15
2022-12-21,10
2022-12-22,15
2022-12-23,24
2022-12-24,32
2022-12-25,21
2022-12-26,18
2022-12-27,16
2022-12-28,27
2022-12-29,18
2022-12-30,9
2022-12-31,8
2023-01-01,28
2023-01-02,20
2023-01-03,28
2023-01-04,21
2023-01-05,27
2023-01-06,12
2023-01-07,16
2023-01-08,16
2023-01-09,28
2023-01-10,4
2023-01-11,8
2023-01-12,12
2023-01-13,21
2023-01-14,15
2023-01-15,12
2023-01-16,32
2023-01-17,16
2023-01-18,18
2023-01-19,18
2023-01-20,12
2023-01-21,16
2023-01-22,28
2023-01-23,12
2023-01-24,12
2023-01-25,28
2023-01-26,6
2023-01-27,10
2023-01-28,15
2023-01-29,16
2023-01-30,12
2023-01-31,30
2023-02-01,8
2023-02-02,12
2023-02-03,16
2023-02-04,21
2023-02-05,32
2023-02-06,15
2023-02-07,9
2023-02-08,24
2023-02-09,24
2023-02-10,27
2023-02-11,8
2023-02-12,18
2023-02-13,6
2023-02-14,4
2023-02-15,18
2023-02-16,21
2023-02-17,24
2023-02-18,20
2023-02-19,12
2023-02-20,33
2023-02-21,9
2023-02-22,33
2023-02-23,12
2023-02-24,8
2023-02-25,15
2023-02-26,10
2023-02-27,3
2023-02-28,36
2023-03-01,4
2023-03-02,15
2023-03-03,12
2023-03-04,9
2023-03-05,3
2023-03-06,9
2023-03-07,33
2023-03-08,21
2023-03-09,15
2023-03-10,21
2023-03-11,15
2023-03-12,3
2023-03-13,15
2023-03-14,20
