fecha,ventas_totales_clp
2022-01-01,558810.0
2022-01-02,508304.0
2022-01-03,407494.0
2022-01-04,423369.0
2022-01-05,479271.0
2022-01-06,431803.0
2022-01-07,427215.0
2022-01-08,519451.0
2022-01-09,471388.0
2022-01-10,316904.0
2022-01-11,421985.0
2022-01-12,389992.0
2022-01-13,416839.0
2022-01-14,522578.0
2022-01-15,508426.0
2022-01-16,599500.0
2022-01-17,385085.0
2022-01-18,464183.0
2022-01-19,397589.0
2022-01-20,426947.0
2022-01-21,535224.0
2022-01-22,532359.0
2022-01-23,533671.0
2022-01-24,319286.0
2022-01-25,465466.0
2022-01-26,487656.0
2022-01-27,466111.0
2022-01-28,429979.0
2022-01-29,503687.0
2022-01-30,505922.0
2022-01-31,324433.0
2022-02-01,306342.0
2022-02-02,392889.0
2022-02-03,439245.0
2022-02-04,490712.0
2022-02-05,442018.0
2022-02-06,487681.0
2022-02-07,314963.0
2022-02-08,390287.0
2022-02-09,405251.0
2022-02-10,390639.0
2022-02-11,420493.0
2022-02-12,482708.0
2022-02-13,427023.0
2022-02-14,311046.0
2022-02-15,318283.0
2022-02-16,393764.0
2022-02-17,428482.0
2022-02-18,412134.0
2022-02-19,559537.0
2022-02-20,438664.0
2022-02-21,365618.0
2022-02-22,366365.0
2022-02-23,431721.0
2022-02-24,450830.0
2022-02-25,432530.0
2022-02-26,531941.0
2022-02-27,477116.0
2022-02-28,360854.0
2022-03-01,440426.0
2022-03-02,382887.0
2022-03-03,484014.0
2022-03-04,492098.0
2022-03-05,604281.0
2022-03-06,536809.0
2022-03-07,358544.0
2022-03-08,448316.0
2022-03-09,379221.0
2022-03-10,495171.0
2022-03-11,503131.0
2022-03-12,550410.0
2022-03-13,550659.0
2022-03-14,393811.0
2022-03-15,457605.0
2022-03-16,460269.0
2022-03-17,423828.0
2022-03-18,463338.0
2022-03-19,627552.0
2022-03-20,506149.0
2022-03-21,356051.0
2022-03-22,393838.0
2022-03-23,373559.0
2022-03-24,492419.0
2022-03-25,433558.0
2022-03-26,636932.0
2022-03-27,528429.0
2022-03-28,394348.0
2022-03-29,462719.0
2022-03-30,490251.0
2022-03-31,489496.0
2022-04-01,518568.0
2022-04-02,586618.0
2022-04-03,653532.0
2022-04-04,392808.0
2022-04-05,433560.0
2022-04-06,414963.0
2022-04-07,565187.0
2022-04-08,558097.0
2022-04-09,732647.0
2022-04-10,650492.0
2022-04-11,414472.0
2022-04-12,486799.0
2022-04-13,449860.0
2022-04-14,542737.0
2022-04-15,609242.0
2022-04-16,581632.0
2022-04-17,563484.0
2022-04-18,448150.0
2022-04-19,413735.0
2022-04-20,428207.0
2022-04-21,480496.0
2022-04-22,473165.0
2022-04-23,610271.0
2022-04-24,579719.0
2022-04-25,428682.0
2022-04-26,490804.0
2022-04-27,542998.0
2022-04-28,562943.0
2022-04-29,614078.0
2022-04-30,731754.0
2022-05-01,669359.0
2022-05-02,412831.0
2022-05-03,514383.0
2022-05-04,532933.0
2022-05-05,536162.0
2022-05-06,468141.0
2022-05-07,664951.0
2022-05-08,644770.0
2022-05-09,435201.0
2022-05-10,450830.0
2022-05-11,459188.0
2022-05-12,430362.0
2022-05-13,515748.0
2022-05-14,626021.0
2022-05-15,668160.0
2022-05-16,458215.0
2022-05-17,476522.0
2022-05-18,414764.0
2022-05-19,505705.0
2022-05-20,549513.0
2022-05-21,739009.0
2022-05-22,669819.0
2022-05-23,368641.0
2022-05-24,399031.0
2022-05-25,491313.0
2022-05-26,484891.0
2022-05-27,562376.0
2022-05-28,597855.0
2022-05-29,600457.0
2022-05-30,424527.0
2022-05-31,396844.0
2022-06-01,410578.0
2022-06-02,475935.0
2022-06-03,508815.0
2022-06-04,582527.0
2022-06-05,551641.0
2022-06-06,437228.0
2022-06-07,397514.0
2022-06-08,452334.0
2022-06-09,511477.0
2022-06-10,505573.0
2022-06-11,574265.0
2022-06-12,674783.0
2022-06-13,374679.0
2022-06-14,455691.0
2022-06-15,526192.0
2022-06-16,530671.0
2022-06-17,527796.0
2022-06-18,618381.0
2022-06-19,639439.0
2022-06-20,373163.0
2022-06-21,470935.0
2022-06-22,468395.0
2022-06-23,465150.0
2022-06-24,554114.0
2022-06-25,651620.0
2022-06-26,679361.0
2022-06-27,450297.0
2022-06-28,466810.0
2022-06-29,434840.0
2022-06-30,461269.0
2022-07-01,474698.0
2022-07-02,644400.0
2022-07-03,559167.0
2022-07-04,359227.0
2022-07-05,478324.0
2022-07-06,462328.0
2022-07-07,480481.0
2022-07-08,528666.0
2022-07-09,581097.0
2022-07-10,547236.0
2022-07-11,341016.0
2022-07-12,386490.0
2022-07-13,510382.0
2022-07-14,516851.0
2022-07-15,480111.0
2022-07-16,659968.0
2022-07-17,607542.0
2022-07-18,366287.0
2022-07-19,469757.0
2022-07-20,513989.0
2022-07-21,481197.0
2022-07-22,529549.0
2022-07-23,536598.0
2022-07-24,533900.0
2022-07-25,404884.0
2022-07-26,482488.0
2022-07-27,437936.0
2022-07-28,447429.0
2022-07-29,578597.0
2022-07-30,580539.0
2022-07-31,648635.0
2022-08-01,337914.0
2022-08-02,432972.0
2022-08-03,501520.0
2022-08-04,476947.0
2022-08-05,567096.0
2022-08-06,684127.0
2022-08-07,637120.0
2022-08-08,412473.0
2022-08-09,465081.0
2022-08-10,437568.0
2022-08-11,452333.0
2022-08-12,463585.0
2022-08-13,598733.0
2022-08-14,578553.0
2022-08-15,389570.0
2022-08-16,382141.0
2022-08-17,396813.0
2022-08-18,478687.0
2022-08-19,510381.0
2022-08-20,566536.0
2022-08-21,566640.0
2022-08-22,426395.0
2022-08-23,462865.0
2022-08-24,515420.0
2022-08-25,463978.0
2022-08-26,578293.0
2022-08-27,607838.0
2022-08-28,505559.0
2022-08-29,326811.0
2022-08-30,491368.0
2022-08-31,482880.0
2022-09-01,479744.0
2022-09-02,477827.0
2022-09-03,663873.0
2022-09-04,589173.0
2022-09-05,386631.0
2022-09-06,500420.0
2022-09-07,412977.0
2022-09-08,534854.0
2022-09-09,536271.0
2022-09-10,552536.0
2022-09-11,520349.0
2022-09-12,367233.0
2022-09-13,411540.0
2022-09-14,462632.0
2022-09-15,448989.0
2022-09-16,535399.0
2022-09-17,711318.0
2022-09-18,661912.0
2022-09-19,371281.0
2022-09-20,384875.0
2022-09-21,411444.0
2022-09-22,501648.0
2022-09-23,502192.0
2022-09-24,670329.0
2022-09-25,624126.0
2022-09-26,423550.0
2022-09-27,512255.0
2022-09-28,435284.0
2022-09-29,514534.0
2022-09-30,621995.0
2022-10-01,663367.0
2022-10-02,574814.0
2022-10-03,445077.0
2022-10-04,464140.0
2022-10-05,569024.0
2022-10-06,522365.0
2022-10-07,624383.0
2022-10-08,682067.0
2022-10-09,623421.0
2022-10-10,401410.0
2022-10-11,456268.0
2022-10-12,495361.0
2022-10-13,533382.0
2022-10-14,617264.0
2022-10-15,729357.0
2022-10-16,671423.0
2022-10-17,410814.0
2022-10-18,497497.0
2022-10-19,590097.0
2022-10-20,627980.0
2022-10-21,524011.0
2022-10-22,614831.0
2022-10-23,704975.0
2022-10-24,414489.0
2022-10-25,547450.0
2022-10-26,506292.0
2022-10-27,603441.0
2022-10-28,604215.0
2022-10-29,707832.0
2022-10-30,639852.0
2022-10-31,502704.0
2022-11-01,475637.0
2022-11-02,552718.0
2022-11-03,627435.0
2022-11-04,577455.0
2022-11-05,698294.0
